net,sta,lat,long,elev
II,AAK,42.6375,74.4942,1633.1
II,ABPO,-19.018,47.229,1528.0
II,ALE,82.5033,-62.35,60.0
II,ARTI,56.3879,58.3849,320.0
II,ASCN,-7.9327,-14.3601,173.0
II,BFO,48.3301,8.3296,638.0
II,BORG,64.7474,-21.3268,110.0
II,BORK,53.0461,70.3184,334.0
II,CMLA,37.7637,-25.5243,429.0
II,COCO,-12.1901,96.8349,1.0
II,DGAR,-7.4121,72.4525,1.0
II,EFI,-51.6753,-58.0637,110.0
II,ERM,42.015,143.1572,40.0
II,ESK,55.3167,-3.205,242.0
II,FFC,54.725,-101.9783,338.0
II,HOPE,-54.2836,-36.4879,20.0
II,IBFO,48.331902,8.3311,589.0
II,JTS,10.2908,-84.9525,340.0
II,KAPI,-5.0142,119.7517,300.0
II,KDAK,57.7828,-152.5835,152.0
II,KIV,43.9553,42.6863,1054.0
II,KURK,50.7154,78.6202,184.0
II,KWJN,9.2873,167.5369,0.0
II,LVZ,67.8979,34.6514,630.0
II,MBAR,-0.6019,30.7382,1390.0
II,MSEY,-4.6737,55.4792,475.0
II,MSVF,-17.7448,178.0528,801.1
II,NIL,33.6506,73.2686,629.0
II,NNA,-11.9875,-76.8422,575.0
II,OBN,55.1146,36.5674,160.0
II,PALK,7.2728,80.7022,460.0
II,RAYN,23.5225,45.5032,631.0
II,RPN,-27.1267,-109.3344,110.0
II,SACV,14.9702,-23.6085,387.0
II,SHEL,-15.9594,-5.7455,537.0
II,SIMI,38.6585,69.0083,1400.5
II,SUR,-32.3797,20.8117,1770.0
II,TAU,-42.9099,147.3204,132.0
II,TLY,51.6807,103.6438,579.0
II,UOSS,24.9453,56.2042,284.4
II,WRAB,-19.9336,134.36,366.0
II,XBFO,48.3301,8.3296,638.0
II,XPFO,33.6107,-116.4555,1280.0
HN,LOD,27.7297,112.0049,78.0
HN,MIL,28.7756,113.0567,65.0
HN,ZJJ,29.3508,110.5565,250.0
HN,JGS,29.5505,111.8897,63.0
HN,CHZ,25.8187,113.0402,185.0
HN,HOJ,27.1145,109.995,220.0
HN,JIS,28.3181,109.7516,195.0
HN,CHL,26.7951,113.5059,280.0
HN,TAY,28.8775,111.4603,40.0
HN,HUR,29.5476,112.5566,44.0
HN,SHY,27.1815,111.4535,265.0
HN,ANH,28.3874,111.2388,131.0
HN,CNS,28.1819,112.9311,86.0
HN,YOZ,26.2223,111.6169,120.0
HN,NIX,27.9915,112.3449,110.0
HN,XUP,27.9112,110.6042,211.0
HN,YIY,28.5771,112.323,107.0
HN,LIY,28.1949,113.5897,306.0
HN,HEY,26.9203,112.5189,101.0
CQ,CQT,29.4223,106.574,255.0
CQ,WUL,29.18805,107.8265,330.0
CQ,WAS,28.8735,106.90796,488.0
CQ,SHZ,30.244415,108.3847,1552.0
CQ,XIS,28.4163,108.9531,385.0
CQ,WAZ,30.7519,108.4607,490.0
CQ,HCB,31.5337,109.104,1825.0
CQ,CHS,29.9054,107.232,350.0
CQ,FUL,29.725,107.4383,695.0
CQ,QIJ,29.5602,108.7931,1050.0
CQ,YUB,29.858178,106.827143,249.0
CQ,ROC,29.379298,105.443055,430.0
CQ,WUX,31.3998,109.6108,530.0
CQ,CHK,31.96267,108.646071,840.0
GD,ZHQ,23.1783,112.5394,50.0
GD,GZH,23.6525,113.6525,65.0
GD,LIZ,24.8016,112.3853,108.0
GD,SHD,21.441,111.0029,58.0
GD,YGC,22.417,111.9423,28.0
GD,SHG,24.8567,113.5839,200.0
GD,DOG,22.875,113.7225,59.0
GD,HEJ,21.9297,110.5508,113.0
GD,HYJ,23.7244,114.5883,152.0
GD,ZHS,22.4873,113.3605,50.0
GD,XNY,22.3531,110.9292,90.0
GD,DNB,21.65,111.2128,240.0
GD,YND,24.1261,113.3626,134.0
GD,DGD,22.0602,114.3029,31.0
GD,TIX,23.1345,116.5091,17.0
GD,SHT,23.4158,116.6258,19.0
GD,XIG,23.7833,114.635,107.0
GD,LTK,23.6619,114.6467,103.0
GD,HUD,23.5164,113.2267,65.0
GD,YGX,21.7699,111.6059,3.0
GD,SCD,21.7112,112.7961,1.0
GD,FES,23.8221,116.2081,84.0
GD,HUJ,24.0353,112.3016,133.0
GD,ZHJ,21.3944,110.3764,8.0
GD,SHW,22.7916,115.3701,15.0
GD,SLG,23.0911,113.3468,26.0
GD,JIX,23.4269,115.7046,123.0
GD,XFJ,23.7385,114.6567,101.0
GD,TIS,22.2698,112.885,20.0
GD,LIP,24.3609,114.4649,276.0
GD,YGJ,21.8581,111.9539,20.0
GD,XNH,22.5697,113.0336,86.0
GD,PUN,23.2883,116.1362,53.0
GD,ZIJ,23.704,115.1673,253.0
GD,NAO,23.4287,117.0067,5.0
GD,SZN,22.5456,114.1431,20.0
GD,ZHH,22.2706,113.5658,50.0
GD,GAZ,22.0545,111.0137,72.0
GD,LCH,24.1044,115.2706,135.0
GD,CHZ,23.6723,116.6374,13.0
JL,WQT,43.6874,129.7089,325.0
JL,CN2,43.8,125.45,223.0
JL,SYT,45.2517,124.76,162.3
JL,DHT,43.344,128.198,599.2
JL,CBS,42.07,128.07,1790.0
JL,SYZT,43.5389,125.674,251.5
JL,YST,44.7636,126.7519,244.8
JL,YNB,43.0029,129.489,333.3
JL,THT,41.6971,125.998,470.8
JL,HCT,42.6423,130.465,167.5
JL,LYT,42.9476,125.149,324.0
JL,CLT,44.2781,124.045,217.2
JL,SLT,43.6881,123.9005,160.5
JL,LJT,41.9191,127.0289,363.0
JL,PST,42.9501,126.078,408.9
JL,FMT,43.7278,126.664,260.4
JL,QAT,45.0061,124.004,164.4
JL,AGT,45.598,123.7635,171.2
JL,FST,42.2576,127.381,770.6
JL,TYT,44.7918,123.031,183.0
JL,SGT,44.0894,124.907,221.0
JL,YFT,41.3621,126.512,328.8
NM,IDR,46.7428,122.891,241.9
NM,CHF,42.2966,118.9807,566.6
NM,WLH,41.5191,111.7062,1510.1
NM,WUH,39.6645,106.8393,1106.0
NM,BAC,41.8989,115.2681,1483.4
NM,WJH,41.3041,108.0778,1103.2
NM,LIX,43.6221,118.0536,833.9
NM,WLJ,40.7967,104.4906,1360.6
NM,TIS,43.863,120.112,388.4
NM,DSM,41.0947,107.0537,1051.3
NM,JIN,40.8964,113.0696,1389.3
NM,CHR,47.9734,121.1771,804.0
NM,ZLT,48.0293,122.6524,414.0
NM,XIQ,48.6481,116.7841,590.0
NM,QSH,39.8989,111.6735,1170.0
NM,NJT,48.2037,123.403,340.0
NM,BTO,40.7438,109.8784,1212.5
NM,MZL,49.5545,117.44,725.0
NM,DSH,39.8044,110.0638,1472.0
NM,XSZ,40.7399,108.7341,1104.6
NM,HLH,45.469,119.6588,896.0
NM,RLT,43.686256,111.923478,948.0
NM,EKH,39.2484,101.6694,1485.7
NM,JIP,43.2444,117.545,1060.0
NM,HJN,48.213,118.236,613.4
NM,BLM,41.7108,110.428,1350.5
NM,WLY,45.5133,116.9473,820.5
NM,BHS,40.965,112.0285,1496.6
NM,CSQ,40.728,111.0484,1079.8
NM,CEK,41.9454,101.0368,941.0
NM,MDT,43.8582,113.6636,998.2
NM,DQL,42.3839,121.0309,436.2
NM,ARS,47.1742,119.952,1070.3
NM,HLG,40.3761,111.8435,1224.6
NM,XIH,42.2445,119.8889,627.2
NM,HHC,40.849,111.5644,1131.6
NM,AGL,43.3034,122.6271,1207.0
NM,BGL,44.5861,117.5914,1014.8
NM,LUB,44.5462,120.8824,292.2
NM,HLR,49.2704,119.7415,618.9
NM,MDL,42.5354,110.1179,1232.5
NM,BYT,38.8689,105.733,1654.5
NM,MDG,51.2719,120.7781,701.9
NM,XLT,43.8941,116.0756,1023.8
NM,NIC,41.725,118.8745,689.5
NM,LCH,40.5412,112.5109,1275.5
SC,XHA,31.3738,107.7175,390.0
SC,WCH,31.479,103.5876,1315.0
SC,PWU,32.4157,104.5482,882.0
SC,SMI,29.226,102.3495,860.0
SC,MNI,28.3326,102.1739,1657.0
SC,LBO,28.2722,103.5703,1310.0
SC,YYC,27.8486,102.2596,1608.0
SC,HWS,28.636,104.7359,860.0
SC,JLO,28.9958,101.5125,2915.0
SC,PGE,27.3839,102.5424,1427.0
SC,YGD,30.2009,104.1025,800.0
SC,REG,33.5815,102.9647,3470.0
SC,RTA,32.2687,100.9799,3317.0
SC,QCH,32.5932,105.2277,800.0
SC,JLI,28.1789,104.5156,480.0
SC,TQU,30.0735,102.7643,754.0
SC,WCA,32.1771,106.1967,610.0
SC,MGU,28.3274,103.1346,2056.0
SC,JYA,29.7939,103.9276,570.0
SC,CD2,30.91,103.7578,653.0
SC,JJS,31.0045,104.5456,908.0
SC,HYS,30.4163,106.8402,473.0
SC,YTI,31.212,105.3612,385.0
SC,JMG,32.2054,105.5597,801.0
SC,YZP,30.8692,103.5689,766.0
SC,YYU,27.4669,101.6776,2596.0
SC,MBI,28.8405,103.5336,640.0
SC,HYU,32.813,102.5242,3495.0
SC,LGH,27.7143,100.8615,2669.0
SC,ZJG,31.7925,104.6729,612.0
SC,MLI,27.9324,101.2719,2437.0
SC,JZG,33.2573,104.2363,1442.0
SC,HSH,32.0637,102.9867,2344.0
SC,LTA,30.0004,100.2694,3951.0
SC,CXI,31.707,105.9504,458.0
SC,BTA,30.0101,99.1172,2639.0
SC,MEK,31.9039,102.2239,2765.0
SC,MDS,30.0748,103.0408,1210.0
SC,XCE,28.9417,99.7917,3000.0
SC,SMK,26.8548,102.7503,2385.0
SC,HMS,29.5717,104.3979,839.0
SC,BZH,31.8408,106.7445,442.0
SC,MXI,31.6809,103.8521,1584.0
SC,XJI,30.995,102.3579,2427.0
SC,GZI,31.6101,100.0185,3360.0
SC,HLI,26.653,102.2528,1836.0
SC,XSB,27.8615,102.449,2807.0
SC,BAX,30.3715,102.8131,997.0
SC,DFU,30.991,101.1215,3035.0
SC,GZA,30.1173,102.1726,1410.0
SC,BYD,27.8097,103.1877,3160.0
SC,LZH,28.87,105.41,320.0
SC,AXI,31.638,104.4311,587.0
SC,YJI,30.0344,101.0117,2670.0
SC,AYU,30.0521,105.3365,348.0
SC,PZH,26.50355,101.7428,1178.0
